food,relationship,disease,evidence
bombax ceiba l. (bombacaceae) fruits,treats,urinary stones,"Interestingly, many Indian tribes use Bombax ceiba L. (Bombacaceae) fruits as a traditional medicine for the treatment of urinary stones."
ultra-processed food,causes,obesity,"Ultra-processed food consumption has been associated with several health outcomes such as obesity, hypertension, cardiovascular disease and cancer."
salt,causes,osteoporosis,"Salt has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for osteoporosis."
sfp,treats,diabetes,"In short, this study demonstrated that SFP could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of diabetes and its complications."
wine,treats,ad,We also showed that moderate consumption of wine was associated with a lower risk of developing AD.
ginger,treats,diabetes,Recent evidence revealed the potential of ginger for reducing diabetes-induced oxidative stress markers.
citrus aurantium l. (tpe-ca),treats,inflammatory diseases,"Total phenolic extracts of Citrus aurantium L. (TPE-CA) are rich in dietary bioactive flavonoids, which show beneficial effects on liver health and are regarded as therapeutic tools against inflammatory diseases."
wheat,causes,allergic reactions,Wheat is one of the five most common foods that trigger allergic reactions in children.
low-carbohydrate ketogenic ( vlc ) diet,treats,type 2 diabetes,"Adults with type 2 diabetes may experience health benefits, including glycemic control and weight loss, from following a very low-carbohydrate, ketogenic (VLC) diet."
chicken eggshell membrane ( em ),treats,arthritis,"It was hypothesized that chicken eggshell membrane (EM) is effective in the regeneration of cartilage and/or immunomodulation (oral tolerance), and as such relieves pain and stiffness in joints commonly affected in arthritis."
folic,treats,neural tube defects,There is evidence that adequate amounts of folic acid supply to women before and during early pregnancy decreases the risk of having a neural tube defects affected child.
sword bean,treats,cancer,"Sword bean has been known as a traditional medicinal plant to treat cancer, sinus infection, and suppurative disease."
excessive consumption of red meat,causes,coronary heart diseases,Excessive consumption of red meat is associated with various diseases including coronary heart diseases and cancer.
fruit,treats,dementia,"Having at least three servings of vegetables and two servings of fruit a day could help prevent dementia in older adults, new research suggests."
milk,causes,cardiovascular disease,"Milk and dairy products containing milk fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as cardiovascular disease (CVD), coronary heart disease (CHD), and stroke."
punica granatum,treats,ailments,Over one thousand cultivars of Punica granatum (Punicaceae) are known and some are traditionally used to treat various ailments.
coffee,treats,metabolic syndrome,"Further, waste products from tropical fruits including mangosteen rind, coffee pulp and spent coffee grounds provide further options to reduce metabolic syndrome."
fruit,treats,bladder cancer,"Fruit and vegetable consumption was inversely related with bladder cancer in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of bladder cancer."
glycine max,treats,anemia deficiency,"Glycine max is commonly used in Algeria for treatment of anemia deficiency and osteoporosis, it ranks first in terms of vegetal proteins."
fish oil,treats,skin inflammation,Nutritional supplementation with fish oil or ÃÂÃÂÃÂÃÂ-3 (n-3) polyunsaturated fatty acids (PUFAs) has potential benefits for skin inflammation.
milk,treats,bone loss,Milk and milk products prevent the bone loss in pre- and postmenopausal women.
chocolate,treats,cardiovascular disease,Three recent meta-analyses found significant prospective inverse associations between chocolate intake and cardiovascular disease risk.
excessive sugar consumption,treats,metabolic diseases,"Since excessive sugar consumption has been related to the development of chronic metabolic diseases prevalent in the western world, the use of sweeteners has gradually increased worldwide over the last few years."
blueberry,treats,cvds,"Moreover, substantial experimental studies have supported the protective role of fruits against CVDs, and several fruits (grape, blueberry, pomegranate, apple, hawthorn, and avocado) have been widely studied and have shown potent cardiovascular protective action."
