source,relationship,target
bombax ceiba l. (bombacaceae) fruits,treats,urinary stones
ultra-processed food,causes,obesity
salt,causes,osteoporosis
sfp,treats,diabetes
wine,treats,ad
ginger,treats,diabetes
citrus aurantium l. (tpe-ca),treats,inflammatory diseases
wheat,causes,allergic reactions
low-carbohydrate ketogenic ( vlc ) diet,treats,type 2 diabetes
chicken eggshell membrane ( em ),treats,arthritis
folic,treats,neural tube defects
sword bean,treats,cancer
excessive consumption of red meat,causes,coronary heart diseases
fruit,treats,dementia
milk,causes,cardiovascular disease
punica granatum,treats,ailments
coffee,treats,metabolic syndrome
fruit,treats,bladder cancer
glycine max,treats,anemia deficiency
fish oil,treats,skin inflammation
milk,treats,bone loss
chocolate,treats,cardiovascular disease
excessive sugar consumption,treats,metabolic diseases
blueberry,treats,cvds
garlic,causes,heinz body hemolytic anemia
less healthy diet,causes,asthma
allium,treats,cancer
ginger,treats,memory dysfunction
sodium,causes,chronic kidney disease
diet,treats,diabetes
iron-fortified cereals,treats,iron deficiency anemia
iron fortifiers,treats,iron-deficiency anemia
capsinoids from nonpungent chili pepper,treats,chills
rice,causes,allergic reactions
flour,causes,respiratory allergy
flour dust,causes,respiratory diseases
essential oil,treats,immune disorders
mediterranean diet,causes,myocardial infarction
leaves and fruits of rhus coriaria,treats,diabetes
garlic consumption,treats,cancer
dairy products,treats,bone diseases
processed meats,causes,hypertension
taraxacum officinale,treats,inflammatory diseases
tea,treats,vd
garlic,treats,colon neoplastic lesions
salt,causes,ad
green tea,treats,neurodegenerative disease
sage,treats,diabetic
iron fortifiers in diets,treats,iron-deficiency anemia
spirulina platensis extracts,treats,cancer
extra-virgin olive oil,treats,malignancies
alcohol,treats,dementia
phenolic acids,treats,alzheimer's disease
ultra-processed foods,causes,noncommunicable chronic diseases
labiatae,treats,cardiovascular diseases
meat,causes,coronary heart disease
milk,causes,respiratory complications
docosahexaenoic acid,treats,alzheimer's disease
artichoke,treats,"cardiovascular, hepatic and gastric diseases"
milk consumption,treats,osteoporosis
olive oil,treats,cardiovascular disease
oryza sativa,treats,vomiting
gelatin hydrolysates ,treats,osteoporosis
blueberries,causes,g6pd) deficiency
olive oil,treats,alzheimer's disease
avocado soybean unsaponifiables (asu),treats,knee osteoarthritis
high-calorie diet,causes,obesity
unhealthy diet,causes,malnutrition
ginger,treats,behavioral dysfunction
tobacco,causes,bladder cancer
peanut,causes,intestinal anaphylaxis
ginseng,treats,cardiovascular disease
3-hydroxyphenylpropionic acid,treats,diabetes
milk,treats,coronary heart disease
fermented foods,treats,gut dysbiosis
olive oil,treats,murine collagen-induced arthritis
fruits,treats,degenerative diseases
alcoholics,causes,osteopenia
sugar,causes,caries
extra-virgin olive oil,treats,breast and colon cancers
fruit,treats,inflammation
alcoholic beverages,treats,dementia
ginger,treats,inflammation
tofu,causes,dementia
walnuts,treats,alzheimer's disease
mediterranean diet,treats,ischemic heart disease
olea europaea,treats,inflammation
fruits,treats,kidney stones
olive oil,treats,carcinogenic
vegetables,treats,kidney stones
fruit,treats,hypertension
salt,causes,death and disability
milk,treats,cognitive impairment
wheat flour,treats,neural tube defects
cereal,treats,coronary disease
licorice,treats,neurodegenerative diseases
olive oil,treats,cvds
fruits,treats,heart disease
ginkgo biloba,treats,cough
shrimp,causes,allergy
bertholletia excelsa,treats,cognitive decline
broccoli,treats,cartilage destruction
fig,causes,allergy
hard water,treats,atopic dermatitis
eicosapentaenoic acid,treats,neurodegenerative diseases
whey protein,treats,lipemia
mollusks,treats,osteoporosis
peanut oil,treats,ad
ginkgo biloba,treats,peripheral vascular disease
fat and high-calorie foods,causes,obesity
native olive oil,treats,stroke
vaccinium macrocarpon,treats,urinary tract infections
ginger,treats,nausea
diet,causes,hypercholesterolemia
fruit of lycium chinense (lc),treats,musculoskeletal diseases
ginger,treats,diabetes mellitus
high protein diets ,causes,bone loss
diosgenin,treats,axonal atrophy
